TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(A),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)
01:18:59,0.159,0.176,0.202,4.230,8.440,12.639,32.688
01:19:00,0.158,0.175,0.194,4.238,8.449,12.646,32.722
01:19:01,0.158,0.172,0.242,4.232,8.440,12.646,32.661
01:19:02,0.158,0.173,0.206,4.233,8.449,12.646,32.763
01:19:03,0.158,0.172,0.161,4.233,8.436,12.632,32.749
01:19:04,0.158,0.171,0.205,4.256,8.436,12.632,32.654
01:19:05,0.158,0.173,0.208,4.237,8.436,12.625,32.708
01:19:06,0.158,0.173,0.195,4.238,8.449,12.646,32.722
01:19:07,0.157,0.173,0.193,4.236,8.449,12.639,32.783
01:19:08,0.158,0.163,0.199,4.237,8.445,12.646,32.851
01:19:09,0.158,0.173,0.203,4.229,8.449,12.639,32.661
01:19:10,0.158,0.170,0.186,4.236,8.440,12.639,32.735
01:19:11,0.157,0.173,0.199,4.232,8.445,12.639,32.633
01:19:12,0.157,0.170,0.203,4.233,8.449,12.639,32.722
01:19:13,0.158,0.173,0.210,4.233,8.440,12.639,32.722
01:19:14,0.158,0.170,0.179,4.235,8.440,12.639,32.742
01:19:15,0.158,0.174,0.208,4.231,8.436,12.625,32.640
01:19:16,0.157,0.170,0.166,4.235,8.440,12.646,32.681
01:19:17,0.157,0.173,0.201,4.238,8.436,12.652,32.695
01:19:18,0.158,0.174,0.200,4.241,8.427,12.652,32.708
01:19:19,0.158,0.175,0.136,4.233,8.449,12.639,32.688
01:19:20,0.158,0.174,0.195,4.239,8.445,12.646,32.776
01:19:21,0.156,0.173,0.195,4.237,8.445,12.639,32.722
01:19:22,0.155,0.171,0.201,4.233,8.436,12.874,32.681
01:19:23,0.157,0.173,0.188,4.237,8.445,12.646,32.654
01:19:24,0.157,0.170,0.209,4.237,8.436,12.625,32.667
01:19:25,0.156,0.170,0.198,4.231,8.436,12.625,32.980
01:19:26,0.157,0.173,0.204,4.236,1.282,12.625,32.620
01:19:27,0.157,0.169,0.191,4.233,8.440,12.646,33.286
01:19:28,0.157,0.173,0.201,4.232,1.273,12.646,32.572
01:19:29,0.155,0.172,0.198,4.239,8.440,12.632,32.599
01:19:30,0.157,0.170,0.205,4.232,8.436,12.632,32.640
01:19:31,0.155,0.169,0.210,4.236,8.436,12.625,32.708
01:19:32,0.156,0.169,0.157,4.233,8.449,12.646,32.681
01:19:33,0.156,0.170,0.192,4.237,8.440,12.652,32.715
01:19:34,0.156,0.172,0.194,4.238,8.449,12.486,32.695
01:19:35,0.157,0.173,0.202,4.230,8.440,12.646,32.640
01:19:36,0.156,0.173,0.193,4.238,8.458,12.687,33.157
01:19:37,0.157,0.170,0.189,4.233,8.449,12.646,32.620
01:19:38,0.157,0.172,0.196,4.238,8.449,12.632,32.817
01:19:39,0.155,0.170,0.188,4.235,8.449,12.646,32.606
01:19:40,0.156,0.165,0.243,4.236,8.427,12.652,32.667
01:19:41,0.154,0.168,0.198,4.235,8.440,12.646,32.633
01:19:42,0.155,0.170,0.203,4.232,8.427,12.632,32.763
01:19:43,0.155,0.171,0.193,4.238,8.422,12.639,32.654
01:19:44,0.156,0.169,0.208,4.232,8.427,12.625,32.695
01:19:45,0.157,0.172,0.197,4.224,8.436,12.632,32.565
01:19:46,0.155,0.171,0.189,4.236,8.427,12.625,32.552
01:19:47,0.155,0.170,0.191,4.238,8.449,12.652,32.735
01:19:48,0.155,0.170,0.213,4.237,8.436,12.652,32.817
01:19:49,0.154,0.170,0.196,4.238,8.431,12.652,32.633
01:19:50,0.154,0.167,0.200,4.233,8.440,12.639,32.885
01:19:51,0.155,0.170,0.191,4.238,8.449,12.646,32.729
